angles,alemany,catala,espanyol,frances,italia,polones,portugues,rus,suec
paint,Farbe,pintar,pintar,Peinture,dipingere,farba,pintar,краска,måla
language,Sprache,idioma,idioma,Langue,linguaggio,język,Língua,язык,språk
among,unter,entre,entre,parmi,fra,wśród,dentre,среди,bland
unit,Einheit,unitat,unidad,unité,unità,jednostka,unidade,Ед изм,enhet
power,Energie,poder,energía,Puissance,potenza,moc,potência,сила,kraft
town,stadt,ciutat,pueblo,ville,cittadina,miasto,Cidade,городок,stad
fine,fein,fina,multa,bien,bene,Cienki,multar,отлично,bra
certain,sicher,certa,cierto,certain,certo,pewny,certo,определенный,vissa
fly,fliegen,volar,volar,mouche,volare,latać,voe,летать,flyga
fall,Herbst,caure,otoño,tomber,autunno,spadek,cair,падение,falla
lead,führen,conduir,Plomo,conduire,piombo,Ołów,conduzir,привести,leda
cry,Schrei,crit,llorar,cri,piangere,płakać,choro,плакать,gråta
dark,dunkel,fosc,oscuro,foncé,scuro,ciemny,Sombrio,темный,mörk
machine,Maschine,màquina,máquina,machine,macchina,maszyna,máquina,машина,maskin
note,Hinweis,nota,Nota,Remarque,Nota,Notatka,Nota,примечание,notera
wait,Warten,esperar,Espere,Attendez,aspettare,czekać,esperar,ждать,vänta
plan,planen,pla,plan,planifier,Piano,plan,plano,план,planen
figure,Zahl,figura,figura,chiffre,figura,postać,figura,фигура,figur
star,Stern,estrella,estrella,étoile,stella,gwiazda,Estrela,звезда,stjärna
box,Kasten,quadre,caja,boîte,scatola,skrzynka,caixa,коробка,låda
noun,Substantiv,substantiu,sustantivo,nom,sostantivo,rzeczownik,substantivo,существительное,substantiv
field,aufstellen,terreny,campo,champ,campo,pole,campo,поле,fält
rest,sich ausruhen,resta,descansar,le repos,riposo,reszta,descanso,отдыхать,resten
correct,Korrekt,correcta,correcto,corriger,corretta,prawidłowy,correto,правильный,korrekt
able,fähig,capaç,poder,pouvoir,capace,zdolny,capaz,способный,duktig
pound,Pfund,lliura,libra,livre,libbra,funt,libra,фунт,pund
done,erledigt,done,hecho,Fini,fatto,Gotowe,feito,Выполнено,Gjort
beauty,Schönheit,bellesa,belleza,beauté,bellezza,piękno,beleza,красота,skönhet
drive,Fahrt,unitat,conducir,conduire,viaggio,prowadzić,dirigir,водить машину,kör
stood,stand,destacat,permaneció,se trouvait,stava in piedi,stał,permaneceu,стоял,stod
contain,enthalten,contenir,contener,contenir,contenere,zawierać,conter,содержать,innehålla
front,Vorderseite,davant,frente,de face,davanti,przód,frente,фронт,främre
teach,unterrichten,ensenyar,enseñar,apprendre,insegnare,uczyć,Ensinar,учить,lära
week,Woche,setmana,semana,la semaine,settimana,tydzień,semana,неделя,vecka
final,Finale,definitiva,final,final,finale,finał,final,финал,slutlig
gave,gab,vadonar,dio,a donné,ha dato,dał,deram,дал,gav av
green,grün,verd,verde,vert,verde,Zielony,verde,зеленый,grön
oh,oh,oh,Oh,oh,oh,oh,oh,ой,åh
quick,schnell,ràpid,rápido,rapide,Presto,szybki,rápido,быстрый,snabbt
develop,sich entwickeln,desenvolupar,desarrollar,développer,sviluppare,rozwijać,desenvolve,развивать,utveckla
ocean,Ozean,oceà,Oceano,océan,oceano,ocean,oceano,океан,hav
warm,warm,calenta,cálido,chaleureuse,caldo,ciepły,caloroso,тепло,värma
free,frei,lliure,libre,libre,gratuito,darmowy,gratuitamente,свободно,fri
minute,Minute,minuts,minuto,minute,minuto,minuta,minuto,минута,minut
strong,stark,fort,fuerte,fort,forte,silny,Forte,сильный,stark
special,Besondere,especial,especial,spécial,speciale,specjalny,especial,специальный,särskild
mind,Geist,ment,mente,dérange,mente,umysł,mente,разум,sinne
behind,hinter,darrere,detrás,derrière,dietro,za,atras do,позади,Bakom
clear,klar,clar,claro,dégager,chiaro,jasne,Claro,Чисто,klar
tail,Schwanz,cua,cola,queue,coda,ogon,rabo,хвост,svans
produce,produzieren,produeix,producir,produire,produrre,produkować,produzir,производить,producera
fact,Tatsache,fet,hecho,fait,fatto,fakt,facto,факт,faktum
space,Platz,espai,espacio,espace,spazio,przestrzeń,espaço,пространство,Plats
heard,gehört,sentit,Escuchó,entendu,sentito,usłyszał,ouviu,слышал,hörd
best,Beste,millor,mejor,meilleur,migliore,Najlepsza,melhor,Лучший,bäst
hour,Stunde,hores,hora,heure,ora,godzina,hora,час,timme
better,besser,millor,mejor,meilleur,meglio,lepiej,Melhor,лучше,bättre
TRUE,STIMMT,cert,CIERTO,vrai,VERO,PRAWDA,VERDADE,ПРАВДА,SANN
during,während,durant,durante,durant,in occasione,w trakcie,durante,в течение,under
hundred,hundert,cent,ciento,cent,centinaio,sto,centenas,сотня,hundra
five,fünf,llit,cinco,cinq,cinque,pięć,cinco,пять,fem
remember,denken Sie daran,recordar,recuerda,rappelles toi,ricordare,Zapamiętaj,lembrar,запомнить,kom ihåg
step,Schritt,pas,paso,marcher,fare un passo,krok,degrau,шаг,steg
early,frühzeitig,primerenca,temprano,tôt,presto,wczesny,cedo,рано,tidigt
hold,halt,mantenir,mantener,tenir,presa,utrzymać,aguarde,держать,håll
west,Westen,oest,Oeste,Ouest,ovest,Zachód,Oeste,западный,väst
ground,Boden,sòl,terrestre,terrain,terra,grunt,chão,земля,jord
interest,Interesse,interès,interés,intérêt,interesse,odsetki,interesse,интерес,intressera
reach,erreichen,arribar,alcanzar,atteindre,portata,zasięg,alcançar,достигать,nå
fast,schnell,ràpid,rápido,vite,veloce,szybki,velozes,быстро,snabb
verb,Verb,verb,verbo,verbe,verbo,czasownik,verbo,глагол,verb
sing,singen,cantar,cantar,chanter,cantare,śpiewać,canta,петь,sjunga
listen,Hören,escoltar,escuchar,Ecoutez,ascoltare,słuchać,ouço,Слушать,lyssna
six,sechs,passeig,seis,six,sei,sześć,seis,шесть,sex
table,Tisch,taula,mesa,table,tavolo,stół,tabela,стол,tabell
travel,reisen,viatges,viajar,voyager,viaggiare,podróż,viagem,путешествовать,resa
less,weniger,menys,menos,moins,meno,mniej,menos,меньше,mindre
morning,Morgen,demà,Mañana,Matin,mattina,rano,manhã,утро,morgon-
ten,zehn,estrany,diez,Dix,dieci,dziesięć,dez,десять,tio
simple,einfach,simple,simple,Facile,semplice,prosty,simples,просто,enkel
several,mehrere,diversos,varios,plusieurs,parecchi,kilka,de várias,несколько,flera
vowel,Vokal,vocal,vocal,voyelle,vocale,samogłoska,vogal,гласный звук,vokal
toward,zu,cap,hacia,vers,verso,w kierunku,na direção,к,mot
war,Krieg,guerra,guerra,guerre,guerra,wojna,guerra,война,krig
lay,legen,establir,poner,allonger,posizione,kłaść,colocar,класть,lägga
against,gegen,contra,contra,contre,contro,przeciwko,contra,против,mot
pattern,Muster,patró,patrón,motif,modello,wzorzec,padronizar,шаблон,mönster
slow,langsam,lenta,lento,lent,Lento,wolny,lento,медленный,långsam
center,Center,centre,centro,centre,centro,środek,Centro,центр,Centrum
love,Liebe,estimar,amor,aimer,amore,kocham,amor,любовь,kärlek
person,Person,persona,persona,la personne,persona,osoba,pessoa,человек,person
money,Geld,diners,dinero,argent,i soldi,pieniądze,dinheiro,Деньги,pengar
serve,Dienen,servir,atender,servez,servire,obsługiwać,servir,обслуживать,tjäna
appear,erscheinen,apareixerà,Aparecer,apparaître,apparire,pojawić się,aparecer,появляться,dyka upp
road,Straße,carretera,la carretera,route,strada,droga,estrada,Дорога,väg
map,Karte,mapa,mapa,carte,carta geografica,mapa,mapa,карта,Karta
rain,Regen,pluja,lluvia,pluie,piovere,deszcz,chuva,дождь,regn
rule,Regel,regla,regla,régner,regola,reguła,regra,правило,regel
govern,regieren,governar,regir,gouverne,governare,rządzić,governo,управляющий,styra
pull,ziehen,halar,jalar,tirer,tiro,ciągnąć,puxar,тянуть,dra
cold,kalt,fred,frío,froid,freddo,przeziębienie,resfriado,холодно,kall
notice,Notiz,avís,aviso,remarquer,Avviso,zauważyć,perceber,уведомление,lägga märke till
voice,Stimme,veu,voz,voix,voce,głos,voz,голос,röst
energy,Energie,energia,energía,énergie,energia,energia,energia,энергия,energi
hunt,Jagd,caça,caza,chasse,caccia,polowanie,caçar,охотиться,jaga
probable,wahrscheinlich,probable,probable,probable,probabile,prawdopodobny,provável,Вероятный,sannolik
bed,Bett,llit,cama,lit,letto,łóżko,cama,кровать,säng
brother,Bruder,germà,hermano,frère,fratello,brat,irmão,брат,bror
egg,Ei,ou,huevo,Oeuf,uovo,jajko,ovo,яйцо,ägg
ride,Reiten,passeig,conducir,balade,giro,jeździć,passeio,поездка,rida
cell,Zelle,cellular,célula,cellule,cellula,komórka,célula,клетка,cell
believe,glauben,creure,creer,croire,ritenere,uważać,acreditam,полагать,tro
perhaps,vielleicht,potser,quizás,peut-être,forse,być może,talvez,возможно,kanske
pick,wählen,recollir,elegir,prendre,scegliere,wybierać,escolha,выбирать,plocka
sudden,plötzlich,sobtada,repentino,soudain,improvviso,nagły,repentino,внезапный,plötslig
count,zählen,comptar,contar,compter,contare,liczyć,contar,считать,räkna
square,Quadrat,plaça,cuadrado,carré,quadrato,kwadrat,quadrado,площадь,fyrkant
reason,Grund,raó,razón,raison,Motivo,powód,razão,причина,anledning
length,Länge,longitud,longitud,longueur,lunghezza,długość,comprimento,длина,längd
represent,vertreten,representar,representar,représenter,rappresentare,przedstawiać,representar,представлять,representera
art,Kunst,art,Arte,art,arte,sztuka,arte,искусство,konst
subject,Thema,subjecte,tema,matière,materia,Przedmiot,sujeito,предмет,ämne
region,Region,regió,región,Région,regione,region,região,область,område
size,Größe,mida,Talla,Taille,taglia,rozmiar,Tamanho,размер,storlek
vary,variieren,variar,variar,varier,variare,różnić się,variar,отличаться,variera
settle,siedeln,resoldre,asentarse,régler,fissare,rozstrzygnąć,resolver,решить,bosätta sig
speak,sprechen,parlar,hablar,parler,parlare,mówić,falar,говорить,tala
weight,Gewicht,pes,peso,lester,il peso,waga,peso,масса,vikt
general,Allgemeines,engeneral,general,général,generale,ogólny,em geral,Генеральная,allmän
ice,Eis,gel,hielo,la glace,Ghiaccio,lód,gelo,лед,is
matter,Angelegenheit,qüestió,asunto,question,importa,materiał,matéria,иметь значение,materia
circle,Kreis,cercle,circulo,cercle,cerchio,okrąg,círculo,круг,cirkel
pair,Paar,parell,par,paire,coppia,para,par,пара,par
include,enthalten,incloure,incluir,comprendre,includere,włączać,incluir,включают,omfatta
divide,teilen,bretxa,dividir,diviser,dividere,dzielić,dividir,разделять,dela upp
syllable,Silbe,síl·laba,sílaba,syllabe,sillaba,sylaba,sílaba,слог,stavelse
felt,fühlte,sentit,sintió,feutre,provato,filc,sentiu,чувствовала,känt
grand,Grand,grand,grandioso,grandiose,mille dollari,wielki,grande,гранд,stor
ball,Ball,bola,pelota,Balle,sfera,piłka,bola,мяч,boll
yet,noch,encara,aún,encore,ancora,już,ainda,пока что,än
wave,Welle,onada,ola,vague,onda,fala,aceno,волна,Vinka
drop,fallen,caure,soltar,goutte,far cadere,upuszczać,derrubar,уронить,släppa
heart,Herz,cor,corazón,cœur,cuore,serce,coração,сердце,hjärta
am,bin,am,soy,un m,sono,jestem  ,sou,являюсь,Jag är
present,gegenwärtig,aquest,presente,cadeau,regalo,teraźniejszość,presente,подарок,närvarande
heavy,schwer,pesada,pesado,lourd,pesante,ciężki,pesado,тяжелый,tung
dance,tanzen,dansa,baile,Danse,danza,taniec,dança,танец,dansa
engine,Motor,motor,motor,moteur,motore,silnik,motor,двигатель,motor
position,Position,posició,posición,position,posizione,pozycja,posição,должность,placera
arm,Arm,braç,brazo,bras,braccio,ramię,braço,рука,ärm
wide,breit,àmplia,amplio,large,largo,szeroki,largo,широкий,bred
sail,Segel,vela,navegar,naviguer,navigare,żagiel,velejar,плыть,segla
material,Material,materials,material,Matériel,Materiale,materiał,material,материал,material
fraction,Fraktion,fracció,fracción,fraction,frazione,frakcja,fração,дробная часть,fraktion
forest,Wald,bosc,bosque,forêt,foresta,las,floresta,лес,skog
sit,mach Sitz,seure,sentar,asseoir,sedersi,siedzieć,sentar,сидеть,sitta
race,Rennen,carrera,la raza,course,gara,Wyścig,corrida,гонка,lopp
window,Fenster,finestra,ventana,la fenêtre,finestra,okno,janela,окно,fönster
store,Laden,botiga,Tienda,boutique,negozio,sklep,armazenar,хранить,Lagra
summer,Sommer,estiu,el verano,été,estate,lato,verão,лето,sommar
train,Zug,tren,tren,former,treno,pociąg,Comboio,тренироваться,tåg
sleep,schlafen,somni,dormir,dormir,dormire,spać,dorme,спать,sova
prove,beweisen,demostrar,demostrar,prouver,dimostrare,udowodnić,provar,доказывать,bevisa
lone,einsam,solitari,solitario,seul,solitario,samotny,solitário,одинокий,ensam
leg,Bein,cama,pierna,jambe,gamba,noga,perna,нога,ben
exercise,Übung,exercici,ejercicio,exercer,esercizio,ćwiczenie,exercício,упражнение,träning
wall,Mauer,paret,pared,mur,parete,Ściana,muro,стена,vägg
catch,Fang,captures,captura,attraper,presa,złapać,truque,ловить,fånga
mount,montieren,muntatge,montar,monter,montare,uchwyt,montar,устанавливать,montera
wish,Wunsch,desitjos,deseo,souhaiter,desiderio,życzenie,desejar,желание,önskar
sky,Himmel,cel,cielo,ciel,cielo,niebo,céu,небо,himmel
board,Tafel,bord,junta,planche,asse,tablica,quadro,доска,styrelse
joy,Freude,alegria,alegría,joie,la gioia,radość,alegria,радость,glädje
winter,Winter,hivern,invierno,l'hiver,inverno,zima,inverno,зима,vinter-
sat,Sa,sat,se sentó,assis,sab,Sat,sentado,сидел,sat
written,geschrieben,escrit,escrito,écrit,scritto,pisemny,escrito,написано,skriven
wild,wild,salvatge,salvaje,sauvage,selvaggio,dziki,selvagem,дикий,vild
instrument,Instrument,instrument,instrumento,instrument,strumento,instrument,instrumento,инструмент,instrument
kept,gehalten,guardat,mantuvo,gardé,tenuto,trzymane,mantido,сохраняется,hållen
glass,Glas,vidre,vidrio,verre,bicchiere,szkło,vidro,стакан,glas
grass,Gras,herba,césped,herbe,erba,trawa,Relva,трава,gräs
cow,Kuh,vaca,vaca,vache,mucca,krowa,vaca,корова,ko
job,Arbeit,treball,trabajo,travail,lavoro,stanowisko,trabalho,работа,jobb
edge,Kante,vora,borde,bord,bordo,Brzeg,borda,край,kant
sign,Schild,signe,señal,pancarte,cartello,podpisać,sinal,знак,tecken
visit,Besuch,visita,visitar,visite,visitare,wizyta,Visita,посещать,besök
past,vorbei an,passat,pasado,passé,passato,po,passado,мимо,dåtid
soft,Sanft,suau,suave,tendre,morbido,miękki,suave,мягкий,mjuk
fun,Spaß,diversió,divertida,amusement,divertimento,zabawa,Diversão,весело,roligt
bright,hell,brillant,brillante,brillant,luminosa,jasny,brilhante,яркий,ljus
gas,Gas,gas,gas,gaz,gas,gaz,gás,газ,gas
weather,Wetter,temps,clima,Météo,tempo atmosferico,pogoda,tempo,погода,väder
month,Monat,mes,mes,mois,mese,miesiąc,mês,месяц,månad
million,Million,milions,millón,million,milione,milion,milhão,миллион,miljon
bear,Bär,suportar,llevar,ours,orso,niedźwiedź,urso,медведь,Björn
finish,Fertig,acabat,finalizar,terminer,finire,koniec,Finalizar,финиш,Avsluta
happy,glücklich,feliç,contento,heureux,felice,szczęśliwy,feliz,счастливый,Lycklig
hope,Hoffnung,espere,esperar,espoir,speranza,nadzieja,ter esperança,надеяться,hoppas
flower,Blume,flor,flor,fleur,fiore,kwiat,flor,цветок,blomma
clothe,kleiden,vestir,vestir,vêtir,vestito,odziać,vestir,одеял,kläda
strange,seltsam,estrany,extraño,étrange,strano,dziwny,estranho,странный,konstig
gone,Weg,anat,desaparecido,disparu,andato,odszedł,se foi,прошло,borta
trade,handeln,comerç,comercio,Commerce,commercio,handel,troca,торговля,handel
melody,Melodie,melodia,melodía,mélodie,melodia,melodia,melodia,мелодия,melodi
trip,Reise,viatge,viaje,voyage,viaggio,wycieczka,viagem,путешествие,resa
office,Büro,oficina,oficina,Bureau,ufficio,gabinet,escritório,офис,kontor
receive,erhalten,rebre,recibir,recevoir,ricevere,odbierać,receber,Получать,motta
row,die Zeile,fila,fila,ligne,riga,wiersz,fileira,строка,rad
mouth,Mund,boca,boca,bouche,bocca,usta,boca,рот,mun
exact,genau,exacta,exacto,exact,esatto,dokładny,exato,точный,exakt
symbol,Symbol,símbol,símbolo,symbole,simbolo,symbol,símbolo,символ,symbol
die,sterben,morir,morir,mourir,morire,umierać,morrer,умереть,dö
least,am wenigsten,menys,el menos,moins,meno,najmniej,ao menos,наименее,minst
trouble,Problem,problemes,problema,difficulté,problemi,kłopot,problema,беда,problem
shout,schreien,crit,grito,cri,gridare o urlare,krzyczeć,gritar,кричать,skrika
except,außer,excepte,excepto,à l'exception,tranne,oprócz,exceto,кроме,bortsett från
wrote,schrieb,escriure,escribió,a écrit,ha scritto,napisał,escreveu,написал,skrev
seed,Samen,llavors,semilla,planter,seme,nasionko,semente,семя,utsäde
tone,Ton,to,tono,Ton,tono,ton,tom,тон,tona
join,beitreten,unir-se,unirse,rejoindre,giuntura,Przystąp,Junte,присоединиться,Ansluta sig
suggest,empfehlen,suggerir,sugerir,suggérer,suggerire,sugerować,sugerir,предложить,föreslå
clean,sauber,neta,limpio,nettoyer,pulire,czysty,limpar,чистый,rena
break,Unterbrechung,ruptura,descanso,Pause,rompere,przerwanie,parar,ломать,ha sönder
lady,Dame,dama,dama,la demoiselle,signora,dama,senhora,леди,lady
yard,Hof,pati,yarda,cour,cortile,dziedziniec,Jardim,площадка,gård
rise,Aufstieg,augmentant,elevar,monter,salita,wzrastać,subir,подниматься,stiga
bad,Schlecht,dolent,malo,mal,cattivo,zły,mau,Плохо,dålig
blow,Schlag,cop,explotar,souffler,soffio,cios,golpe,дуть,blåsa
oil,Öl,oli,aceite,pétrole,olio,olej,óleo,масло,olja
blood,Blut,sang,sangre,du sang,sangue,krew,sangue,кровь,blod
touch,berühren,tocar,tocar,toucher,tocco,dotykać,toque,трогать,Rör
grew,wuchs,créixer,creció,faire grandir,è cresciuto,dorastał,cresceu,вырос,växte
cent,Cent,cent,centavo,cent,cent,cent,cent,цент,cent
mix,mischen,barrejar,mezcla,mélanger,mescolare,mieszać,misturar,смешивание,blanda
team,Mannschaft,equip,equipo,équipe,squadra,zespół,equipe,команда,team
wire,Kabel,filferro,cable,fil,filo,drut,arame,провод,tråd
cost,kosten,cost,costo,Coût,costo,koszt,custo,Стоимость,kosta
lost,verirrt,perdut,perdió,perdu,perduto,Stracony,perdido,потерял,förlorat
brown,braun,brown,marrón,brun,Marrone,brązowy,Castanho,коричневый,brun
wear,tragen,desgast,tener puesto,usure,indossare,nosić ,vestem,носить,ha på sig
garden,Garten,jardí,jardín,jardin,giardino,ogród,jardim,сад,trädgård
equal,gleich,igual,igual,égal,pari,równy,igual,равный,likvärdig
sent,gesendet,enviat,enviado,expédié,spedito,wysłano,enviado,послал,skickad
choose,wählen,triar,elegir,choisir,scegliere,wybierać,escolher,выбирать,välja
fell,fiel,caure,cayó,abattre,caduto,spadł,caiu,упал,föll
fit,fit,encaixar,adaptar,adapter,in forma,pasować,em forma,поместиться,passa
flow,fließen,fluir,caudal,couler,fluire,pływ,fluxo,поток,flöde
fair,Messe,just,justa,équitable,giusto,sprawiedliwy,feira,справедливый,rättvis
bank,Bank,banc,banco,banque,banca,Bank,banco,банк,Bank
collect,sammeln,recollir,recoger,recueillir,raccogliere,zebrać,coletar,собирать,samla
save,sparen,guardar,ahorrar,enregistrer,Salva,ratować,Salve ,спасти,spara
decimal,Dezimal,decimal,decimal,décimal,decimale,dziesiętny,decimal,десятичный,decimal-
ear,Ohr,sentit,oído,oreille,orecchio,ucho,orelha,ухо,öra
else,anders,altres,más,autre,altro,w przeciwnym razie,senão,еще,annan
quite,ziemlich,bastant,bastante,assez,piuttosto,całkiem,bastante,довольно,ganska
broke,Pleite,trencar,rompió,cassé,rotto,zepsuł się,quebrou,сломанный,pank
case,Fall,cas,caso,Cas,Astuccio,walizka,caso,кейс,fall
middle,Mitte,mitjà,medio,milieu,mezzo,środek,meio,середина,mitten
kill,töten,matar,matar,tuer,uccisione,zabić,matar,убийство,döda
son,Sohn,fill,hijo,fils,figlio,syn,filho,сын,son
lake,See,llac,lago,Lac,lago,jezioro,lago,озеро,sjö
moment,Moment,moment,momento,moment,momento,za chwilę,momento,мгновенный,ögonblick
scale,Skala,escala,escala,échelle,scala,skala,escala,шкала,skala
loud,laut,veualta,alto,fort,ad alta voce,głośno,alto,громкий,högt
spring,Frühling,primavera,primavera,le printemps,molla,wiosna,primavera,весна,vår
observe,beobachten,observar,observar,observer,osservare,przestrzegać,observar,наблюдать,observera
child,Kind,nen,niño,enfant,bambino,dziecko,filho,ребенок,barn
straight,gerade,recta,directo,droit,dritto,proste,direto,прямой,hetero
consonant,Konsonant,consonant,consonante,consonne,consonante,spółgłoska,consoante,согласный,konsonant
nation,Nation,nació,nación,nation,nazione,naród,nação,нация,nation
dictionary,Wörterbuch,diccionari,diccionario,dictionnaire,dizionario,słownik,dicionário,толковый словарь,lexikon
milk,Milch,llet,Leche,Le Lait,latte,mleko,leite,молоко,mjölk
speed,Geschwindigkeit,velocitat,velocidad,la rapidité,velocità,prędkość,Rapidez,скорость,fart
method,Methode,mètode,método,méthode,metodo,metoda,método,метод,metod
organ,Organ,òrgan,Organo,organe,organo,organ,órgão,орган,organ
pay,Zahlen,pagar,pagar,Payer,pagare,płacić,pagar,платить,betala
age,das Alter,edat,años,âge,età,wiek,era,возраст,ålder
section,Sektion,secció,sección,section,sezione,Sekcja,seção,раздел,sektion
dress,Kleid,vestit,vestir,robe,vestire,sukienka,vestir,платье,klänning
cloud,Wolke,núvol,nube,nuage,nube,Chmura,nuvem,облако,moln
surprise,Überraschung,sorpresa,sorpresa,surprendre,sorpresa,niespodzianka,surpresa,Сюрприз,överraskning
quiet,ruhig,tranquil,tranquilo,calme,silenzioso,cichy,tranquilo,тихо,tyst
stone,Stein,pedra,piedra,pierre,calcolo,złóg,pedra,камень,sten
tiny,sehr klein,petit,diminuto,minuscule,minuscolo,malutki,minúsculo,крошечный,mycket liten
climb,steigen,ascens,subida,monter,salita,wspinać się,escalar,взбираться,klättra
cool,Kalt,fresc,Frío,cool,freddo,Fajny,legal,Круто,Häftigt
design,Entwurf,disseny,diseño,motif,disegno,projekt,Projeto,дизайн,design
poor,Arm,pobres,pobre,pauvre,povero,słaby,pobre,бедный,fattig
lot,viel,molt,lote,parcelle,quantità,działka,muito,много,massa
experiment,Experiment,experiment,experimento,expérience,sperimentare,eksperyment,experimentar,эксперимент,experimentera
bottom,Unterseite,inferior,abajo,fond,parte inferiore,na dole,fundo,нижний,botten
key,Schlüssel,clau,llave,clé,chiave,klucz,chave,ключ,nyckel-
iron,Eisen,ferro,planchar,le fer,ferro da stiro,żelazo,ferro,утюг,järn
single,Single,sola,único,Célibataire,separare,pojedynczy,solteiro,не замужем,enda
stick,Stock,pal,palo,coller,bastone,stick,grudar,палка,pinne
flat,eben,plana,plano,appartement,piatto,mieszkanie,apartamento,плоский,platt
twenty,zwanzig,vint,veinte,vingt,venti,dwadzieścia,vinte,двадцать,tjugo
skin,Haut,pell,piel,peau,pelle,skóra,pele,кожа,hud
smile,lächeln,somriure,sonreír,le sourire,Sorridi,uśmiech,sorriso,улыбка,leende
crease,Falte,plec,pliegue,pli,piega,marszczyć,vinco,складка,veck
hole,Loch,forat,agujero,trou,buco,otwór,buraco,отверстие,hål
jump,springen,saltar,salto,saut,salto,skok,pular,Прыжок,hoppa
baby,Baby,nadó,bebé,bébé,bambino,Dziecko,bebê,малыш,bebis
eight,acht,tipus,ocho,huit,otto,osiem,oito,восемь,åtta
village,Dorf,poble,aldea,village,villaggio,wieś,Vila,деревня,by
meet,Treffen,reuneixen,reunir,rencontrer,incontrare,spotykać się,encontrar,встретиться,träffa
root,Wurzel,arrel,raíz,racine,radice,źródło,raiz,корень,rot
buy,Kaufen,comprar,comprar,acheter,acquistare,Kup,Comprar,купить,köpa
raise,heben,augmentar,elevar,soulever,aumentare,podnieść,levantar,поднимать,höja
solve,lösen,resoldre,resolver,résoudre,risolvere,rozwiązywać,resolver,решать,lösa
metal,Metall,metall,metal,métal,metallo,metal,metal,металл,metall
whether,ob,si,ya sea,qu'il s'agisse,se,czy,se,будь то,huruvida
push,drücken,empènyer,empujar,pousser,spingere,naciskać,Empurre,толкать,tryck
seven,Sieben,caràcter,Siete,Sept,Sette,siedem,Sete,Семь,sju
paragraph,Absatz,paràgraf,párrafo,paragraphe,paragrafo,ustęp,parágrafo,параграф,paragraf
third,dritte,tercer,tercera,troisième,Terzo,trzeci,terceiro,в третьих,tredje
shall,soll,haurà,deberá,devoir,deve,być,deve,должен,skall
held,gehaltenen,held,retenida,tenu,tenuto,trzymany,guardado,проводится,hållen
hair,Haar,pèl,pelo,Cheveu,capelli,włosy,cabelo,волосы,hår
describe,beschreiben,descriure,describir,décris,descrivere,opisać,descrever,описывать,beskriva
cook,Koch,cuiner,cocinero,cuisinier,cucinare,gotować,cozinheiro,готовить пищу,laga mat
floor,Boden,pis,piso,sol,pavimento,piętro,piso,пол,golv
either,entweder,sigui,o,Soit,o,zarówno,qualquer,либо,antingen
result,Ergebnis,resultat,resultado,résultat,risultato,wynik,resultado,результат,resultat
burn,brennen,cremar,quemar,brûler,bruciare,oparzenie,queimar,гореть,bränna
hill,hügel,turó,Cerro,colline,collina,wzgórze,colina,холм,kulle
safe,sicher,segur,seguro,sûr,sicuro,bezpieczny,seguro,Безопасно,säker
cat,Katze,cat,gato,chat,gatto,kot,gato,кошка,katt
century,Jahrhundert,segle,siglo,siècle,secolo,wiek,século,век,århundrade
consider,Erwägen,considerar,considerar,envisager,ritenere,rozważać,considerar,рассмотреть возможность,överväga
type,Typ,tipus,escribe,taper,genere,rodzaj,modelo,тип,typ
law,Gesetz,llei,ley,droit,legge,prawo,lei,закон,lag
bit,bisschen,bit,un poco,bit,morso,fragment,pedaço,кусочек,bit
coast,Küste,costa,costa,côte,costa,Wybrzeże,costa,морской берег,kust
copy,Kopieren,còpia,Copiar,copie,copia,Kopiuj,cópia de,копия,kopiera
phrase,Phrase,frase,frase,phrase,frase,wyrażenie,frase,фраза,fras
silent,Leise,silenci,silencioso,silencieux,silenzioso,cichy,silencioso,тихий,tyst
tall,hoch,altura,alto,haut,alto,wysoki,alta,высокий,lång
sand,Sand,sorra,arena,le sable,sabbia,piasek,areia,песок,sand
soil,Boden,sòl,suelo,sol,suolo,gleba,solo,почвы,jord
roll,rollen,rotllo,rodar,rouleau,rotolo,rolka,lista,рулон,rulla
temperature,Temperatur,temperatura,la temperatura,Température,temperatura,temperatura,temperatura,температура,temperatur
finger,Finger,dit,dedo,doigt,dito,palec,dedo,Палец,finger
industry,Industrie,indústria,industria,industrie,industria,przemysł,indústria,промышленность,industri
value,Wert,valor,valor,évaluer,valore,wartość,valor,ценность,värde
fight,Kampf,lluita,lucha,lutte,combattere,walka,lutar,Борьба,bekämpa
lie,Lüge,mentida,mentir,mentir,menzogna,kłamstwo,mentira,ложь,lögn
beat,schlagen,batre,derrotar,battre,colpo,bić,bater,бить,slå
excite,begeistern,excitar,excitar,exciter,eccitare,podniecać,excitar,волновать,excitera
natural,natürlich,naturals,natural,Naturel,naturale,naturalny,natural,естественный,naturlig
view,Aussicht,vista,vista,voir,Visualizza,pogląd,Visão,Посмотреть,se
sense,Sinn,sentit,sentido,sens,senso,sens,senso,смысл,känsla
chair,Stuhl,cadira,silla,chaise,sedia,krzesło,cadeira,стул,stol
danger,Achtung,perill,peligro,danger,Pericolo,zagrożenie,perigo,Опасность,fara
fruit,Obst,fruita,Fruta,fruit,frutta,owoc,fruta,фрукты,frukt
rich,Reich,rica,rico,riche,ricco,bogaty,rico,богатый,rik
thick,dick,gruix,grueso,épais,spesso,gruby,espesso,толстый,tjock
