angles,catala,espanyol,alemany,frances,polones,portugues,romanes,italia,suec
yes,si,sí,Jawohl,oui,tak,sim,da,sì,ja
distant,distant,distante,entfernt,loin,odległy,distante,îndepărtat,distante,avlägsen
fill,omplir,llenar,füllen,remplir,wypełnić,encher,completati,riempire,fylla
paint,pintar,pintar,Farbe,Peinture,farba,pintar,a picta,dipingere,måla
language,idioma,idioma,Sprache,Langue,język,Língua,limba,linguaggio,språk
among,entre,entre,unter,parmi,wśród,dentre,printre,fra,bland
unit,unitat,unidad,Einheit,unité,jednostka,unidade,unitate,unità,enhet
power,poder,energía,Energie,Puissance,moc,potência,putere,potenza,kraft
town,ciutat,pueblo,stadt,ville,miasto,Cidade,oraș,cittadina,stad
fine,fina,multa,fein,bien,Cienki,multar,amenda,bene,bra
certain,certa,cierto,sicher,certain,pewny,certo,anumit,certo,vissa
fly,volar,volar,fliegen,mouche,latać,voe,a zbura,volare,flyga
fall,caure,otoño,Herbst,tomber,spadek,cair,toamna,autunno,falla
lead,conduir,Plomo,führen,conduire,Ołów,conduzir,conduce,piombo,leda
cry,crit,llorar,Schrei,cri,płakać,choro,strigăt,piangere,gråta
dark,fosc,oscuro,dunkel,foncé,ciemny,Sombrio,întuneric,scuro,mörk
machine,màquina,máquina,Maschine,machine,maszyna,máquina,mașinărie,macchina,maskin
note,nota,Nota,Hinweis,Remarque,Notatka,Nota,Notă,Nota,notera
wait,esperar,Espere,Warten,Attendez,czekać,esperar,aștepta,aspettare,vänta
plan,pla,plan,planen,planifier,plan,plano,plan,Piano,planen
figure,figura,figura,Zahl,chiffre,postać,figura,figura,figura,figur
star,estrella,estrella,Stern,étoile,gwiazda,Estrela,stea,stella,stjärna
box,quadre,caja,Kasten,boîte,skrzynka,caixa,cutie,scatola,låda
noun,substantiu,sustantivo,Substantiv,nom,rzeczownik,substantivo,substantiv,sostantivo,substantiv
field,terreny,campo,aufstellen,champ,pole,campo,camp,campo,fält
rest,resta,descansar,sich ausruhen,le repos,reszta,descanso,odihnă,riposo,resten
correct,correcta,correcto,Korrekt,corriger,prawidłowy,correto,corect,corretta,korrekt
able,capaç,poder,fähig,pouvoir,zdolny,capaz,in stare,capace,duktig
pound,lliura,libra,Pfund,livre,funt,libra,livră,libbra,pund
done,done,hecho,erledigt,Fini,Gotowe,feito,Terminat,fatto,Gjort
beauty,bellesa,belleza,Schönheit,beauté,piękno,beleza,frumuseţe,bellezza,skönhet
drive,unitat,conducir,Fahrt,conduire,prowadzić,dirigir,conduce,viaggio,kör
stood,destacat,permaneció,stand,se trouvait,stał,permaneceu,a stat,stava in piedi,stod
contain,contenir,contener,enthalten,contenir,zawierać,conter,conține,contenere,innehålla
front,davant,frente,Vorderseite,de face,przód,frente,față,davanti,främre
teach,ensenyar,enseñar,unterrichten,apprendre,uczyć,Ensinar,a preda,insegnare,lära
week,setmana,semana,Woche,la semaine,tydzień,semana,săptămână,settimana,vecka
final,definitiva,final,Finale,final,finał,final,final,finale,slutlig
gave,vadonar,dio,gab,a donné,dał,deram,a dat,ha dato,gav av
green,verd,verde,grün,vert,Zielony,verde,verde,verde,grön
oh,oh,Oh,oh,oh,oh,oh,Oh,oh,åh
quick,ràpid,rápido,schnell,rapide,szybki,rápido,rapid,Presto,snabbt
develop,desenvolupar,desarrollar,sich entwickeln,développer,rozwijać,desenvolve,dezvolta,sviluppare,utveckla
ocean,oceà,Oceano,Ozean,océan,ocean,oceano,ocean,oceano,hav
warm,calenta,cálido,warm,chaleureuse,ciepły,caloroso,cald,caldo,värma
free,lliure,libre,frei,libre,darmowy,gratuitamente,gratuit,gratuito,fri
minute,minuts,minuto,Minute,minute,minuta,minuto,minut,minuto,minut
strong,fort,fuerte,stark,fort,silny,Forte,puternic,forte,stark
special,especial,especial,Besondere,spécial,specjalny,especial,special,speciale,särskild
mind,ment,mente,Geist,dérange,umysł,mente,minte,mente,sinne
behind,darrere,detrás,hinter,derrière,za,atras do,in spate,dietro,Bakom
clear,clar,claro,klar,dégager,jasne,Claro,clar,chiaro,klar
tail,cua,cola,Schwanz,queue,ogon,rabo,coadă,coda,svans
produce,produeix,producir,produzieren,produire,produkować,produzir,legume şi fructe,produrre,producera
fact,fet,hecho,Tatsache,fait,fakt,facto,fapt,fatto,faktum
space,espai,espacio,Platz,espace,przestrzeń,espaço,spaţiu,spazio,Plats
heard,sentit,Escuchó,gehört,entendu,usłyszał,ouviu,auzit,sentito,hörd
best,millor,mejor,Beste,meilleur,Najlepsza,melhor,Cel mai bun,migliore,bäst
hour,hores,hora,Stunde,heure,godzina,hora,ora,ora,timme
better,millor,mejor,besser,meilleur,lepiej,Melhor,mai bine,meglio,bättre
TRUE,cert,CIERTO,STIMMT,vrai,PRAWDA,VERDADE,ADEVĂRAT,VERO,SANN
during,durant,durante,während,durant,w trakcie,durante,pe parcursul,in occasione,under
hundred,cent,ciento,hundert,cent,sto,centenas,sută,centinaio,hundra
five,llit,cinco,fünf,cinq,pięć,cinco,cinci,cinque,fem
remember,recordar,recuerda,denken Sie daran,rappelles toi,Zapamiętaj,lembrar,tine minte,ricordare,kom ihåg
step,pas,paso,Schritt,marcher,krok,degrau,Etapa,fare un passo,steg
early,primerenca,temprano,frühzeitig,tôt,wczesny,cedo,din timp,presto,tidigt
hold,mantenir,mantener,halt,tenir,utrzymać,aguarde,ține,presa,håll
west,oest,Oeste,Westen,Ouest,Zachód,Oeste,Vest,ovest,väst
ground,sòl,terrestre,Boden,terrain,grunt,chão,sol,terra,jord
interest,interès,interés,Interesse,intérêt,odsetki,interesse,interes,interesse,intressera
reach,arribar,alcanzar,erreichen,atteindre,zasięg,alcançar,a ajunge,portata,nå
fast,ràpid,rápido,schnell,vite,szybki,velozes,rapid,veloce,snabb
verb,verb,verbo,Verb,verbe,czasownik,verbo,verb,verbo,verb
sing,cantar,cantar,singen,chanter,śpiewać,canta,cânta,cantare,sjunga
listen,escoltar,escuchar,Hören,Ecoutez,słuchać,ouço,asculta,ascoltare,lyssna
six,passeig,seis,sechs,six,sześć,seis,şase,sei,sex
table,taula,mesa,Tisch,table,stół,tabela,masa,tavolo,tabell
travel,viatges,viajar,reisen,voyager,podróż,viagem,voiaj,viaggiare,resa
less,menys,menos,weniger,moins,mniej,menos,Mai puțin,meno,mindre
morning,demà,Mañana,Morgen,Matin,rano,manhã,dimineaţă,mattina,morgon-
ten,estrany,diez,zehn,Dix,dziesięć,dez,zece,dieci,tio
simple,simple,simple,einfach,Facile,prosty,simples,simplu,semplice,enkel
several,diversos,varios,mehrere,plusieurs,kilka,de várias,Câteva,parecchi,flera
vowel,vocal,vocal,Vokal,voyelle,samogłoska,vogal,vocală,vocale,vokal
toward,cap,hacia,zu,vers,w kierunku,na direção,spre,verso,mot
war,guerra,guerra,Krieg,guerre,wojna,guerra,război,guerra,krig
lay,establir,poner,legen,allonger,kłaść,colocar,lay,posizione,lägga
against,contra,contra,gegen,contre,przeciwko,contra,împotriva,contro,mot
pattern,patró,patrón,Muster,motif,wzorzec,padronizar,model,modello,mönster
slow,lenta,lento,langsam,lent,wolny,lento,încet,Lento,långsam
center,centre,centro,Center,centre,środek,Centro,centru,centro,Centrum
love,estimar,amor,Liebe,aimer,kocham,amor,dragoste,amore,kärlek
person,persona,persona,Person,la personne,osoba,pessoa,persoană,persona,person
money,diners,dinero,Geld,argent,pieniądze,dinheiro,bani,i soldi,pengar
serve,servir,atender,Dienen,servez,obsługiwać,servir,servi,servire,tjäna
appear,apareixerà,Aparecer,erscheinen,apparaître,pojawić się,aparecer,apărea,apparire,dyka upp
road,carretera,la carretera,Straße,route,droga,estrada,drum,strada,väg
map,mapa,mapa,Karte,carte,mapa,mapa,Hartă,carta geografica,Karta
rain,pluja,lluvia,Regen,pluie,deszcz,chuva,ploaie,piovere,regn
rule,regla,regla,Regel,régner,reguła,regra,regulă,regola,regel
govern,governar,regir,regieren,gouverne,rządzić,governo,guvernează,governare,styra
pull,halar,jalar,ziehen,tirer,ciągnąć,puxar,Trage,tiro,dra
cold,fred,frío,kalt,froid,przeziębienie,resfriado,rece,freddo,kall
notice,avís,aviso,Notiz,remarquer,zauważyć,perceber,înștiințare,Avviso,lägga märke till
voice,veu,voz,Stimme,voix,głos,voz,voce,voce,röst
energy,energia,energía,Energie,énergie,energia,energia,energie,energia,energi
hunt,caça,caza,Jagd,chasse,polowanie,caçar,vânătoare,caccia,jaga
probable,probable,probable,wahrscheinlich,probable,prawdopodobny,provável,probabil,probabile,sannolik
bed,llit,cama,Bett,lit,łóżko,cama,pat,letto,säng
brother,germà,hermano,Bruder,frère,brat,irmão,frate,fratello,bror
egg,ou,huevo,Ei,Oeuf,jajko,ovo,ou,uovo,ägg
ride,passeig,conducir,Reiten,balade,jeździć,passeio,plimbare,giro,rida
cell,cellular,célula,Zelle,cellule,komórka,célula,celulă,cellula,cell
believe,creure,creer,glauben,croire,uważać,acreditam,crede,ritenere,tro
perhaps,potser,quizás,vielleicht,peut-être,być może,talvez,poate,forse,kanske
pick,recollir,elegir,wählen,prendre,wybierać,escolha,alege,scegliere,plocka
sudden,sobtada,repentino,plötzlich,soudain,nagły,repentino,brusc,improvviso,plötslig
count,comptar,contar,zählen,compter,liczyć,contar,numara,contare,räkna
square,plaça,cuadrado,Quadrat,carré,kwadrat,quadrado,pătrat,quadrato,fyrkant
reason,raó,razón,Grund,raison,powód,razão,motiv,Motivo,anledning
length,longitud,longitud,Länge,longueur,długość,comprimento,lungime,lunghezza,längd
represent,representar,representar,vertreten,représenter,przedstawiać,representar,reprezinta,rappresentare,representera
art,art,Arte,Kunst,art,sztuka,arte,artă,arte,konst
subject,subjecte,tema,Thema,matière,Przedmiot,sujeito,subiect,materia,ämne
region,regió,región,Region,Région,region,região,regiune,regione,område
size,mida,Talla,Größe,Taille,rozmiar,Tamanho,mărimea,taglia,storlek
vary,variar,variar,variieren,varier,różnić się,variar,varia,variare,variera
settle,resoldre,asentarse,siedeln,régler,rozstrzygnąć,resolver,stabilește,fissare,bosätta sig
speak,parlar,hablar,sprechen,parler,mówić,falar,vorbi,parlare,tala
weight,pes,peso,Gewicht,lester,waga,peso,greutate,il peso,vikt
general,engeneral,general,Allgemeines,général,ogólny,em geral,general,generale,allmän
ice,gel,hielo,Eis,la glace,lód,gelo,gheaţă,Ghiaccio,is
matter,qüestió,asunto,Angelegenheit,question,materiał,matéria,chestiune,importa,materia
circle,cercle,circulo,Kreis,cercle,okrąg,círculo,cerc,cerchio,cirkel
pair,parell,par,Paar,paire,para,par,pereche,coppia,par
include,incloure,incluir,enthalten,comprendre,włączać,incluir,include,includere,omfatta
divide,bretxa,dividir,teilen,diviser,dzielić,dividir,divide,dividere,dela upp
syllable,síl·laba,sílaba,Silbe,syllabe,sylaba,sílaba,silabă,sillaba,stavelse
felt,sentit,sintió,fühlte,feutre,filc,sentiu,simțit,provato,känt
grand,grand,grandioso,Grand,grandiose,wielki,grande,mare,mille dollari,stor
ball,bola,pelota,Ball,Balle,piłka,bola,minge,sfera,boll
yet,encara,aún,noch,encore,już,ainda,inca,ancora,än
wave,onada,ola,Welle,vague,fala,aceno,val,onda,Vinka
drop,caure,soltar,fallen,goutte,upuszczać,derrubar,cădere brusca,far cadere,släppa
heart,cor,corazón,Herz,cœur,serce,coração,Inima,cuore,hjärta
am,am,soy,bin,un m,jestem  ,sou,sânt,sono,Jag är
present,aquest,presente,gegenwärtig,cadeau,teraźniejszość,presente,prezent,regalo,närvarande
heavy,pesada,pesado,schwer,lourd,ciężki,pesado,greu,pesante,tung
dance,dansa,baile,tanzen,Danse,taniec,dança,dans,danza,dansa
engine,motor,motor,Motor,moteur,silnik,motor,motor,motore,motor
position,posició,posición,Position,position,pozycja,posição,poziţie,posizione,placera
arm,braç,brazo,Arm,bras,ramię,braço,braţ,braccio,ärm
wide,àmplia,amplio,breit,large,szeroki,largo,lat,largo,bred
sail,vela,navegar,Segel,naviguer,żagiel,velejar,naviga,navigare,segla
material,materials,material,Material,Matériel,materiał,material,material,Materiale,material
fraction,fracció,fracción,Fraktion,fraction,frakcja,fração,fracțiune,frazione,fraktion
forest,bosc,bosque,Wald,forêt,las,floresta,pădure,foresta,skog
sit,seure,sentar,mach Sitz,asseoir,siedzieć,sentar,sta,sedersi,sitta
race,carrera,la raza,Rennen,course,Wyścig,corrida,rasă,gara,lopp
window,finestra,ventana,Fenster,la fenêtre,okno,janela,fereastră,finestra,fönster
store,botiga,Tienda,Laden,boutique,sklep,armazenar,magazin,negozio,Lagra
summer,estiu,el verano,Sommer,été,lato,verão,vară,estate,sommar
train,tren,tren,Zug,former,pociąg,Comboio,tren,treno,tåg
sleep,somni,dormir,schlafen,dormir,spać,dorme,dormi,dormire,sova
prove,demostrar,demostrar,beweisen,prouver,udowodnić,provar,dovedi,dimostrare,bevisa
lone,solitari,solitario,einsam,seul,samotny,solitário,singuratic,solitario,ensam
leg,cama,pierna,Bein,jambe,noga,perna,picior,gamba,ben
exercise,exercici,ejercicio,Übung,exercer,ćwiczenie,exercício,exercițiu,esercizio,träning
wall,paret,pared,Mauer,mur,Ściana,muro,perete,parete,vägg
catch,captures,captura,Fang,attraper,złapać,truque,captură,presa,fånga
mount,muntatge,montar,montieren,monter,uchwyt,montar,montură,montare,montera
wish,desitjos,deseo,Wunsch,souhaiter,życzenie,desejar,dori,desiderio,önskar
sky,cel,cielo,Himmel,ciel,niebo,céu,cer,cielo,himmel
board,bord,junta,Tafel,planche,tablica,quadro,bord,asse,styrelse
joy,alegria,alegría,Freude,joie,radość,alegria,bucurie,la gioia,glädje
winter,hivern,invierno,Winter,l'hiver,zima,inverno,iarnă,inverno,vinter-
sat,sat,se sentó,Sa,assis,Sat,sentado,Sat,sab,sat
written,escrit,escrito,geschrieben,écrit,pisemny,escrito,scris,scritto,skriven
wild,salvatge,salvaje,wild,sauvage,dziki,selvagem,sălbatic,selvaggio,vild
instrument,instrument,instrumento,Instrument,instrument,instrument,instrumento,instrument,strumento,instrument
kept,guardat,mantuvo,gehalten,gardé,trzymane,mantido,ținut,tenuto,hållen
glass,vidre,vidrio,Glas,verre,szkło,vidro,sticlă,bicchiere,glas
grass,herba,césped,Gras,herbe,trawa,Relva,iarbă,erba,gräs
cow,vaca,vaca,Kuh,vache,krowa,vaca,vacă,mucca,ko
job,treball,trabajo,Arbeit,travail,stanowisko,trabalho,loc de munca,lavoro,jobb
edge,vora,borde,Kante,bord,Brzeg,borda,margine,bordo,kant
sign,signe,señal,Schild,pancarte,podpisać,sinal,semn,cartello,tecken
visit,visita,visitar,Besuch,visite,wizyta,Visita,vizita,visitare,besök
past,passat,pasado,vorbei an,passé,po,passado,trecut,passato,dåtid
soft,suau,suave,Sanft,tendre,miękki,suave,moale,morbido,mjuk
fun,diversió,divertida,Spaß,amusement,zabawa,Diversão,distracţie,divertimento,roligt
bright,brillant,brillante,hell,brillant,jasny,brilhante,luminos,luminosa,ljus
gas,gas,gas,Gas,gaz,gaz,gás,gaz,gas,gas
weather,temps,clima,Wetter,Météo,pogoda,tempo,vreme,tempo atmosferico,väder
month,mes,mes,Monat,mois,miesiąc,mês,lună,mese,månad
million,milions,millón,Million,million,milion,milhão,milion,milione,miljon
bear,suportar,llevar,Bär,ours,niedźwiedź,urso,urs,orso,Björn
finish,acabat,finalizar,Fertig,terminer,koniec,Finalizar,finalizarea,finire,Avsluta
happy,feliç,contento,glücklich,heureux,szczęśliwy,feliz,fericit,felice,Lycklig
hope,espere,esperar,Hoffnung,espoir,nadzieja,ter esperança,speranţă,speranza,hoppas
flower,flor,flor,Blume,fleur,kwiat,flor,floare,fiore,blomma
clothe,vestir,vestir,kleiden,vêtir,odziać,vestir,Îmbrăcați,vestito,kläda
strange,estrany,extraño,seltsam,étrange,dziwny,estranho,ciudat,strano,konstig
gone,anat,desaparecido,Weg,disparu,odszedł,se foi,plecat,andato,borta
trade,comerç,comercio,handeln,Commerce,handel,troca,comerț,commercio,handel
melody,melodia,melodía,Melodie,mélodie,melodia,melodia,melodie,melodia,melodi
trip,viatge,viaje,Reise,voyage,wycieczka,viagem,călătorie,viaggio,resa
office,oficina,oficina,Büro,Bureau,gabinet,escritório,birou,ufficio,kontor
receive,rebre,recibir,erhalten,recevoir,odbierać,receber,a primi,ricevere,motta
row,fila,fila,die Zeile,ligne,wiersz,fileira,rând,riga,rad
mouth,boca,boca,Mund,bouche,usta,boca,gură,bocca,mun
exact,exacta,exacto,genau,exact,dokładny,exato,corect,esatto,exakt
symbol,símbol,símbolo,Symbol,symbole,symbol,símbolo,simbol,simbolo,symbol
die,morir,morir,sterben,mourir,umierać,morrer,a muri,morire,dö
least,menys,el menos,am wenigsten,moins,najmniej,ao menos,cel mai puţin,meno,minst
trouble,problemes,problema,Problem,difficulté,kłopot,problema,necaz,problemi,problem
shout,crit,grito,schreien,cri,krzyczeć,gritar,strigăt,gridare o urlare,skrika
except,excepte,excepto,außer,à l'exception,oprócz,exceto,cu exceptia,tranne,bortsett från
wrote,escriure,escribió,schrieb,a écrit,napisał,escreveu,a scris,ha scritto,skrev
seed,llavors,semilla,Samen,planter,nasionko,semente,sămânță,seme,utsäde
tone,to,tono,Ton,Ton,ton,tom,ton,tono,tona
join,unir-se,unirse,beitreten,rejoindre,Przystąp,Junte,a te alatura,giuntura,Ansluta sig
suggest,suggerir,sugerir,empfehlen,suggérer,sugerować,sugerir,sugera,suggerire,föreslå
clean,neta,limpio,sauber,nettoyer,czysty,limpar,curat,pulire,rena
break,ruptura,descanso,Unterbrechung,Pause,przerwanie,parar,pauză,rompere,ha sönder
lady,dama,dama,Dame,la demoiselle,dama,senhora,doamnă,signora,lady
yard,pati,yarda,Hof,cour,dziedziniec,Jardim,curte,cortile,gård
rise,augmentant,elevar,Aufstieg,monter,wzrastać,subir,creştere,salita,stiga
bad,dolent,malo,Schlecht,mal,zły,mau,rău,cattivo,dålig
blow,cop,explotar,Schlag,souffler,cios,golpe,a sufla,soffio,blåsa
oil,oli,aceite,Öl,pétrole,olej,óleo,ulei,olio,olja
blood,sang,sangre,Blut,du sang,krew,sangue,sânge,sangue,blod
touch,tocar,tocar,berühren,toucher,dotykać,toque,atingere,tocco,Rör
grew,créixer,creció,wuchs,faire grandir,dorastał,cresceu,crescut,è cresciuto,växte
cent,cent,centavo,Cent,cent,cent,cent,cent,cent,cent
mix,barrejar,mezcla,mischen,mélanger,mieszać,misturar,amesteca,mescolare,blanda
team,equip,equipo,Mannschaft,équipe,zespół,equipe,echipă,squadra,team
wire,filferro,cable,Kabel,fil,drut,arame,sârmă,filo,tråd
cost,cost,costo,kosten,Coût,koszt,custo,cost,costo,kosta
lost,perdut,perdió,verirrt,perdu,Stracony,perdido,pierdut,perduto,förlorat
brown,brown,marrón,braun,brun,brązowy,Castanho,maro,Marrone,brun
wear,desgast,tener puesto,tragen,usure,nosić ,vestem,purta,indossare,ha på sig
garden,jardí,jardín,Garten,jardin,ogród,jardim,grădină,giardino,trädgård
equal,igual,igual,gleich,égal,równy,igual,egal,pari,likvärdig
sent,enviat,enviado,gesendet,expédié,wysłano,enviado,trimis,spedito,skickad
choose,triar,elegir,wählen,choisir,wybierać,escolher,alege,scegliere,välja
fell,caure,cayó,fiel,abattre,spadł,caiu,căzut,caduto,föll
fit,encaixar,adaptar,fit,adapter,pasować,em forma,potrivi,in forma,passa
flow,fluir,caudal,fließen,couler,pływ,fluxo,curgere,fluire,flöde
fair,just,justa,Messe,équitable,sprawiedliwy,feira,corect,giusto,rättvis
bank,banc,banco,Bank,banque,Bank,banco,bancă,banca,Bank
collect,recollir,recoger,sammeln,recueillir,zebrać,coletar,colectarea,raccogliere,samla
save,guardar,ahorrar,sparen,enregistrer,ratować,Salve ,Salvați,Salva,spara
decimal,decimal,decimal,Dezimal,décimal,dziesiętny,decimal,zecimal,decimale,decimal-
ear,sentit,oído,Ohr,oreille,ucho,orelha,ureche,orecchio,öra
else,altres,más,anders,autre,w przeciwnym razie,senão,altfel,altro,annan
quite,bastant,bastante,ziemlich,assez,całkiem,bastante,destul de,piuttosto,ganska
broke,trencar,rompió,Pleite,cassé,zepsuł się,quebrou,rupt,rotto,pank
case,cas,caso,Fall,Cas,walizka,caso,caz,Astuccio,fall
middle,mitjà,medio,Mitte,milieu,środek,meio,mijloc,mezzo,mitten
kill,matar,matar,töten,tuer,zabić,matar,ucide,uccisione,döda
son,fill,hijo,Sohn,fils,syn,filho,fiule,figlio,son
lake,llac,lago,See,Lac,jezioro,lago,lac,lago,sjö
moment,moment,momento,Moment,moment,za chwilę,momento,moment,momento,ögonblick
scale,escala,escala,Skala,échelle,skala,escala,scară,scala,skala
loud,veualta,alto,laut,fort,głośno,alto,tare,ad alta voce,högt
spring,primavera,primavera,Frühling,le printemps,wiosna,primavera,primăvară,molla,vår
observe,observar,observar,beobachten,observer,przestrzegać,observar,observa,osservare,observera
child,nen,niño,Kind,enfant,dziecko,filho,copil,bambino,barn
straight,recta,directo,gerade,droit,proste,direto,Drept,dritto,hetero
consonant,consonant,consonante,Konsonant,consonne,spółgłoska,consoante,consoană,consonante,konsonant
nation,nació,nación,Nation,nation,naród,nação,naţiune,nazione,nation
dictionary,diccionari,diccionario,Wörterbuch,dictionnaire,słownik,dicionário,dicţionar,dizionario,lexikon
milk,llet,Leche,Milch,Le Lait,mleko,leite,lapte,latte,mjölk
speed,velocitat,velocidad,Geschwindigkeit,la rapidité,prędkość,Rapidez,viteză,velocità,fart
method,mètode,método,Methode,méthode,metoda,método,metodă,metodo,metod
organ,òrgan,Organo,Organ,organe,organ,órgão,organ,organo,organ
pay,pagar,pagar,Zahlen,Payer,płacić,pagar,a plati,pagare,betala
age,edat,años,das Alter,âge,wiek,era,vârstă,età,ålder
section,secció,sección,Sektion,section,Sekcja,seção,secțiune,sezione,sektion
dress,vestit,vestir,Kleid,robe,sukienka,vestir,rochie,vestire,klänning
cloud,núvol,nube,Wolke,nuage,Chmura,nuvem,nor,nube,moln
surprise,sorpresa,sorpresa,Überraschung,surprendre,niespodzianka,surpresa,surprinde,sorpresa,överraskning
quiet,tranquil,tranquilo,ruhig,calme,cichy,tranquilo,Liniște,silenzioso,tyst
stone,pedra,piedra,Stein,pierre,złóg,pedra,piatră,calcolo,sten
tiny,petit,diminuto,sehr klein,minuscule,malutki,minúsculo,minuscul,minuscolo,mycket liten
climb,ascens,subida,steigen,monter,wspinać się,escalar,a urca,salita,klättra
cool,fresc,Frío,Kalt,cool,Fajny,legal,rece,freddo,Häftigt
design,disseny,diseño,Entwurf,motif,projekt,Projeto,proiecta,disegno,design
poor,pobres,pobre,Arm,pauvre,słaby,pobre,sărac,povero,fattig
lot,molt,lote,viel,parcelle,działka,muito,lot,quantità,massa
experiment,experiment,experimento,Experiment,expérience,eksperyment,experimentar,experiment,sperimentare,experimentera
bottom,inferior,abajo,Unterseite,fond,na dole,fundo,partea de jos,parte inferiore,botten
key,clau,llave,Schlüssel,clé,klucz,chave,cheie,chiave,nyckel-
iron,ferro,planchar,Eisen,le fer,żelazo,ferro,fier,ferro da stiro,järn
single,sola,único,Single,Célibataire,pojedynczy,solteiro,singur,separare,enda
stick,pal,palo,Stock,coller,stick,grudar,băț,bastone,pinne
flat,plana,plano,eben,appartement,mieszkanie,apartamento,apartament,piatto,platt
twenty,vint,veinte,zwanzig,vingt,dwadzieścia,vinte,douăzeci,venti,tjugo
skin,pell,piel,Haut,peau,skóra,pele,piele,pelle,hud
smile,somriure,sonreír,lächeln,le sourire,uśmiech,sorriso,zâmbet,Sorridi,leende
crease,plec,pliegue,Falte,pli,marszczyć,vinco,cută,piega,veck
hole,forat,agujero,Loch,trou,otwór,buraco,gaură,buco,hål
jump,saltar,salto,springen,saut,skok,pular,a sari,salto,hoppa
baby,nadó,bebé,Baby,bébé,Dziecko,bebê,bebelus,bambino,bebis
eight,tipus,ocho,acht,huit,osiem,oito,opt,otto,åtta
village,poble,aldea,Dorf,village,wieś,Vila,sat,villaggio,by
meet,reuneixen,reunir,Treffen,rencontrer,spotykać się,encontrar,întâlni,incontrare,träffa
root,arrel,raíz,Wurzel,racine,źródło,raiz,rădăcină,radice,rot
buy,comprar,comprar,Kaufen,acheter,Kup,Comprar,Cumpără,acquistare,köpa
raise,augmentar,elevar,heben,soulever,podnieść,levantar,a ridica,aumentare,höja
solve,resoldre,resolver,lösen,résoudre,rozwiązywać,resolver,rezolva,risolvere,lösa
metal,metall,metal,Metall,métal,metal,metal,metal,metallo,metall
whether,si,ya sea,ob,qu'il s'agisse,czy,se,dacă,se,huruvida
push,empènyer,empujar,drücken,pousser,naciskać,Empurre,Apăsaţi,spingere,tryck
seven,caràcter,Siete,Sieben,Sept,siedem,Sete,Șapte,Sette,sju
paragraph,paràgraf,párrafo,Absatz,paragraphe,ustęp,parágrafo,paragraf,paragrafo,paragraf
third,tercer,tercera,dritte,troisième,trzeci,terceiro,al treilea,Terzo,tredje
shall,haurà,deberá,soll,devoir,być,deve,trebuie,deve,skall
held,held,retenida,gehaltenen,tenu,trzymany,guardado,ținut,tenuto,hållen
hair,pèl,pelo,Haar,Cheveu,włosy,cabelo,păr,capelli,hår
describe,descriure,describir,beschreiben,décris,opisać,descrever,descrie,descrivere,beskriva
cook,cuiner,cocinero,Koch,cuisinier,gotować,cozinheiro,bucătar,cucinare,laga mat
floor,pis,piso,Boden,sol,piętro,piso,podea,pavimento,golv
either,sigui,o,entweder,Soit,zarówno,qualquer,fie,o,antingen
result,resultat,resultado,Ergebnis,résultat,wynik,resultado,rezultat,risultato,resultat
burn,cremar,quemar,brennen,brûler,oparzenie,queimar,a arde,bruciare,bränna
hill,turó,Cerro,hügel,colline,wzgórze,colina,deal,collina,kulle
safe,segur,seguro,sicher,sûr,bezpieczny,seguro,sigur,sicuro,säker
cat,cat,gato,Katze,chat,kot,gato,pisică,gatto,katt
century,segle,siglo,Jahrhundert,siècle,wiek,século,secol,secolo,århundrade
consider,considerar,considerar,Erwägen,envisager,rozważać,considerar,considera,ritenere,överväga
type,tipus,escribe,Typ,taper,rodzaj,modelo,tip,genere,typ
law,llei,ley,Gesetz,droit,prawo,lei,lege,legge,lag
bit,bit,un poco,bisschen,bit,fragment,pedaço,pic,morso,bit
coast,costa,costa,Küste,côte,Wybrzeże,costa,Coasta,costa,kust
copy,còpia,Copiar,Kopieren,copie,Kopiuj,cópia de,copie,copia,kopiera
phrase,frase,frase,Phrase,phrase,wyrażenie,frase,fraza,frase,fras
silent,silenci,silencioso,Leise,silencieux,cichy,silencioso,tăcut,silenzioso,tyst
tall,altura,alto,hoch,haut,wysoki,alta,înalt,alto,lång
sand,sorra,arena,Sand,le sable,piasek,areia,nisip,sabbia,sand
soil,sòl,suelo,Boden,sol,gleba,solo,sol,suolo,jord
roll,rotllo,rodar,rollen,rouleau,rolka,lista,rulează,rotolo,rulla
temperature,temperatura,la temperatura,Temperatur,Température,temperatura,temperatura,temperatura,temperatura,temperatur
finger,dit,dedo,Finger,doigt,palec,dedo,deget,dito,finger
industry,indústria,industria,Industrie,industrie,przemysł,indústria,industrie,industria,industri
value,valor,valor,Wert,évaluer,wartość,valor,valoare,valore,värde
fight,lluita,lucha,Kampf,lutte,walka,lutar,luptă,combattere,bekämpa
lie,mentida,mentir,Lüge,mentir,kłamstwo,mentira,minciună,menzogna,lögn
beat,batre,derrotar,schlagen,battre,bić,bater,bate,colpo,slå
excite,excitar,excitar,begeistern,exciter,podniecać,excitar,excita,eccitare,excitera
natural,naturals,natural,natürlich,Naturel,naturalny,natural,natural,naturale,naturlig
view,vista,vista,Aussicht,voir,pogląd,Visão,vedere,Visualizza,se
sense,sentit,sentido,Sinn,sens,sens,senso,sens,senso,känsla
chair,cadira,silla,Stuhl,chaise,krzesło,cadeira,scaun,sedia,stol
